t,x_A,pi_A,x_B,pi_B,x_C,pi_C
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.5,1.0,0.5,1.0,0.5
2,0.715,0.8574999999999999,-1.1,-0.04999999999999999,-0.37000000000000005,0.315
3,0.5062249999999999,1.1106125,-0.2900000000000001,-0.19500000000000003,-0.31310000000000004,0.15845
4,0.35337587499999995,1.2873004375,0.46900000000000003,0.03949999999999999,-0.167653,0.07462350000000002
5,0.24155762562499997,1.4080792503125,0.06910000000000004,0.07405000000000002,-0.08057339000000001,0.03433680500000002
6,0.15984069794687497,1.4879995992859374,-0.19451000000000004,-0.023205,-0.03734899570000001,0.015662307150000016
7,0.1002053065288906,1.5381022525503827,-0.008189000000000026,-0.02729950000000001,-0.017083996091000014,0.007120309104500009
8,0.05676679817529741,1.5664856516380314,0.07862290000000002,0.01201195,-0.007774997881330009,0.003232810163835005
9,0.025207238169833817,1.5790892707229485,-0.0045866899999999905,0.009718605000000005,-0.003531528977957905,0.0014670456748560527
10,0.0023583187750508636,1.580268430110474,-0.030990491000000012,-0.005776640500000001,-0.0016028634256070797,0.000665613962052513
11,-0.014104694783068118,1.5732160827189399,0.0049337250999999995,-0.003309777950000002,-0.000727281639895828,0.000301973142104599
12,-0.025887541070998443,1.5602723121834408,0.011902823890000006,0.0026416339950000012,-0.00032995835908580535,0.00013699396256169636
13,-0.034241752692953285,1.5431514358369642,-0.0031637724290000005,0.0010597477805000008,-0.00014969123503239115,6.21483450455008e-05
14,-0.040085576297296005,1.5231086476883162,-0.004444752313100002,-0.0011626283760500006,-6.790880934354202e-05,2.8193940373729802e-05
15,-0.04409270141093628,1.5010622969828482,0.0017099842029100005,-0.00030763627459500024,-3.080725108384018e-05,1.2790314831809712e-05
16,-0.046757367985702604,1.477683612989997,0.0016069025049490011,0.0004958149778795003,-1.3975863435335954e-05,5.802383114141736e-06
17,-0.048442141079605844,1.4534625424501941,-0.0008446839316589004,7.34730120500501e-05,-6.340213877554438e-06,2.632276175364517e-06
18,-0.049412967001818145,1.4287560589492851,-0.0005582926088137104,-0.00020567329235680513,-2.87626566803242e-06,1.194143341348307e-06
19,-0.04986489683080191,1.4038236105338842,0.00039370283354493116,-8.82187558433953e-06,-1.3048302606560699e-06,5.417282110202722e-07
20,-0.04994096182351622,1.378853129622126,0.00018394676017099106,8.3151504501156e-05,-5.919418107707306e-07,2.45757305634907e-07
21,-0.04974602380915294,1.3539801177175497,-0.0001758758094350716,-4.7864002163797846e-06,-2.6853691993307475e-07,1.1148884566836966e-07
22,-0.04935693831976561,1.329301648557667,-5.599112312488929e-05,-3.278196177882443e-05,-1.2182291469617865e-07,5.057738832028034e-08
23,-0.04883001207580791,1.304886642519763,7.594943608651759e-05,5.192756264434357e-06,-5.52654826639466e-08,2.2944646988307042e-08
24,-0.048206475119779324,1.2807834049598732,1.4801505641303968e-05,1.259350908508634e-05,-2.5071420902592067e-08,1.040893653701101e-08
25,-0.047516496135839845,1.2570251568919533,-3.185992499873743e-05,-3.336453414282376e-06,-1.1373756555517274e-08,4.722058259252374e-09
26,-0.04678212878672422,1.2336340924985911,-2.7346097566478454e-06,-4.703758292606298e-06,-5.159752957768518e-09,2.142181780368115e-09
27,-0.04601947365142735,1.2106243556728775,1.3017430975159758e-05,1.80495719497358e-06,-2.340743838952785e-09,9.718098608917226e-10
28,-0.045240264585756466,1.1880042233799992,-2.0789919485683663e-07,1.7010075975451617e-06,-1.0618883819187732e-09,4.408656699323361e-10
29,-0.04445303273554465,1.1657777070122268,-5.18618247057822e-06,-8.920836377439481e-07,-4.817301734926043e-10,2.0000058318603397e-10
30,-0.043663960639714415,1.1439457266923696,6.01777925000556e-07,-5.9119467524367e-07,-2.1853893874683888e-10,9.073111381261453e-11
31,-0.04287750892751808,1.1225069722286105,2.0142951957312325e-06,4.159529226219462e-07,-9.914111753110019e-11,4.116055504706444e-11
32,-0.04209687615009912,1.101458534153561,-4.421406895733455e-07,1.9488257783527342e-07,-4.497578894484601e-11,1.8672660574641437e-11
33,-0.04132433616960698,1.0807963660687576,-7.615040093351584e-07,-1.8586942683230582e-07,-2.040345763276497e-11,8.470931758258952e-12
34,-0.0405614857028046,1.0605156232173554,2.5300667676285404e-07,-5.936608845087878e-08,-9.256115193054254e-12,3.842874161731826e-12
35,-0.039809425938192866,1.040610910248259,2.7930093605777794e-07,8.02843795780102e-08,-4.199075961002983e-12,1.7433361812303342e-12
36,-0.03906889577798145,1.0210764623592683,-1.2913276431091947e-07,1.571799742255049e-08,-1.9049286399875394e-12,7.908718612365647e-13
37,-0.03834036958373933,1.0019062775673986,-9.880709799201926e-08,-3.368555157345914e-08,-8.641789663119113e-13,3.587823780806091e-13
38,-0.0376241288759663,0.9830942131294155,6.153381552356972e-08,-2.918643811674283e-09,-3.9203845757750107e-13,1.6276314929185858e-13
39,-0.03692031492198989,0.9646340556684205,3.336945764445074e-08,1.3766085010551085e-08,-1.778499109688728e-13,7.383819380742219e-14
40,-0.036228967300516925,0.9465195720181621,-2.7950471973872955e-08,-2.091509763853943e-10,-8.068236730418979e-14,3.3497010155327303e-14
